horse_number,horse_name,frame,actual_running_style,position_m,rank,lane,gap_from_leader,race_power,performance_index,late_phase,ability_factor,time,elapsed_time,progress
5,クロワデュノール,3,先行,6.658,3,2.22,0.7,84.154,89.408,0.0,0.0,0.475,0.475,0.0033
2,ミュージアムマイル,1,先行,6.308,4,0.0,1.05,73.195,82.272,0.0,0.0,0.475,0.475,0.0033
17,レガレイラ,8,先行,5.958,5,7.0,1.4,68.507,79.338,0.0,0.0,0.475,0.475,0.0033
9,コスモキュランダ,5,先行,5.608,6,4.22,1.75,64.219,71.241,0.0,0.0,0.475,0.475,0.0033
4,ミクニインスパイア,2,先行,5.258,7,1.0,2.1,62.769,75.093,0.0,0.0,0.475,0.475,0.0033
7,ファミリータイム,4,先行,4.908,8,3.22,2.45,60.592,73.6,0.0,0.0,0.475,0.475,0.0033
3,シュガークン,2,先行,4.558,9,1.22,2.8,52.467,61.843,0.0,0.0,0.475,0.475,0.0033
18,ミステリーウェイ,8,先行,4.208,10,7.0,3.15,43.76,58.039,0.0,0.0,0.475,0.475,0.0033
1,ダノンデサイル,1,差し,3.858,11,0.22,3.5,79.175,85.766,0.0,0.0,0.475,0.475,0.0033
15,マイユニバース,7,差し,3.508,12,6.22,3.85,70.558,80.631,0.0,0.0,0.475,0.475,0.0033
10,ジューンテイク,5,差し,3.158,13,4.0,4.2,67.114,73.771,0.0,0.0,0.475,0.475,0.0033
13,シェイクユアハート,7,差し,2.808,14,6.22,4.55,67.357,78.592,0.0,0.0,0.475,0.475,0.0033
14,スティンガーグラス,7,差し,2.458,15,6.0,4.9,61.121,77.264,0.0,0.0,0.475,0.475,0.0033
11,シンエンペラー,6,差し,2.108,16,5.22,5.25,54.86,73.209,0.0,0.0,0.475,0.475,0.0033
8,タガノデュード,4,追込,1.758,17,3.0,5.6,71.2,81.806,0.0,0.0,0.475,0.475,0.0033
6,ビザンチンドリーム,3,追込,1.408,18,2.0,5.95,58.422,76.695,0.0,0.0,0.475,0.475,0.0033
16,メイショウタバル,8,逃げ,14.716,1,7.0,0.0,74.557,75.358,0.0,0.0,0.949,0.949,0.0067
12,マイネルエンペラー,6,逃げ,14.366,2,5.0,0.35,52.086,66.306,0.0,0.0,0.949,0.949,0.0067
5,クロワデュノール,3,先行,14.016,3,2.22,0.7,84.154,89.408,0.0,0.0,0.949,0.949,0.0067
2,ミュージアムマイル,1,先行,13.666,4,0.0,1.05,73.195,82.272,0.0,0.0,0.949,0.949,0.0067
17,レガレイラ,8,先行,13.316,5,7.0,1.4,68.507,79.338,0.0,0.0,0.949,0.949,0.0067
9,コスモキュランダ,5,先行,12.966,6,4.22,1.75,64.219,71.241,0.0,0.0,0.949,0.949,0.0067
4,ミクニインスパイア,2,先行,12.616,7,1.0,2.1,62.769,75.093,0.0,0.0,0.949,0.949,0.0067
7,ファミリータイム,4,先行,12.266,8,3.22,2.45,60.592,73.6,0.0,0.0,0.949,0.949,0.0067
3,シュガークン,2,先行,11.916,9,1.22,2.8,52.467,61.843,0.0,0.0,0.949,0.949,0.0067
18,ミステリーウェイ,8,先行,11.566,10,7.0,3.15,43.76,58.039,0.0,0.0,0.949,0.949,0.0067
1,ダノンデサイル,1,差し,11.216,11,0.22,3.5,79.175,85.766,0.0,0.0,0.949,0.949,0.0067
15,マイユニバース,7,差し,10.866,12,6.22,3.85,70.558,80.631,0.0,0.0,0.949,0.949,0.0067
10,ジューンテイク,5,差し,10.516,13,4.0,4.2,67.114,73.771,0.0,0.0,0.949,0.949,0.0067
13,シェイクユアハート,7,差し,10.166,14,6.22,4.55,67.357,78.592,0.0,0.0,0.949,0.949,0.0067
14,スティンガーグラス,7,差し,9.816,15,6.0,4.9,61.121,77.264,0.0,0.0,0.949,0.949,0.0067
11,シンエンペラー,6,差し,9.466,16,5.22,5.25,54.86,73.209,0.0,0.0,0.949,0.949,0.0067
8,タガノデュード,4,追込,9.116,17,3.0,5.6,71.2,81.806,0.0,0.0,0.949,0.949,0.0067
6,ビザンチンドリーム,3,追込,8.766,18,2.0,5.95,58.422,76.695,0.0,0.0,0.949,0.949,0.0067
16,メイショウタバル,8,逃げ,22.074,1,7.0,0.0,74.557,75.358,0.0,0.0,1.424,1.424,0.01
12,マイネルエンペラー,6,逃げ,21.724,2,5.0,0.35,52.086,66.306,0.0,0.0,1.424,1.424,0.01
5,クロワデュノール,3,先行,21.374,3,2.22,0.7,84.154,89.408,0.0,0.0,1.424,1.424,0.01
2,ミュージアムマイル,1,先行,21.024,4,0.0,1.05,73.195,82.272,0.0,0.0,1.424,1.424,0.01
17,レガレイラ,8,先行,20.674,5,7.0,1.4,68.507,79.338,0.0,0.0,1.424,1.424,0.01
9,コスモキュランダ,5,先行,20.324,6,4.22,1.75,64.219,71.241,0.0,0.0,1.424,1.424,0.01
4,ミクニインスパイア,2,先行,19.974,7,1.0,2.1,62.769,75.093,0.0,0.0,1.424,1.424,0.01
7,ファミリータイム,4,先行,19.624,8,3.22,2.45,60.592,73.6,0.0,0.0,1.424,1.424,0.01
3,シュガークン,2,先行,19.274,9,1.22,2.8,52.467,61.843,0.0,0.0,1.424,1.424,0.01
18,ミステリーウェイ,8,先行,18.924,10,7.0,3.15,43.76,58.039,0.0,0.0,1.424,1.424,0.01
1,ダノンデサイル,1,差し,18.574,11,0.22,3.5,79.175,85.766,0.0,0.0,1.424,1.424,0.01
15,マイユニバース,7,差し,18.224,12,6.22,3.85,70.558,80.631,0.0,0.0,1.424,1.424,0.01
10,ジューンテイク,5,差し,17.874,13,4.0,4.2,67.114,73.771,0.0,0.0,1.424,1.424,0.01
13,シェイクユアハート,7,差し,17.524,14,6.22,4.55,67.357,78.592,0.0,0.0,1.424,1.424,0.01
14,スティンガーグラス,7,差し,17.174,15,6.0,4.9,61.121,77.264,0.0,0.0,1.424,1.424,0.01
11,シンエンペラー,6,差し,16.824,16,5.22,5.25,54.86,73.209,0.0,0.0,1.424,1.424,0.01
8,タガノデュード,4,追込,16.474,17,3.0,5.6,71.2,81.806,0.0,0.0,1.424,1.424,0.01
6,ビザンチンドリーム,3,追込,16.124,18,2.0,5.95,58.422,76.695,0.0,0.0,1.424,1.424,0.01
16,メイショウタバル,8,逃げ,29.431,1,7.0,0.0,74.557,75.358,0.0,0.0,1.899,1.899,0.0134
12,マイネルエンペラー,6,逃げ,29.081,2,5.0,0.35,52.086,66.306,0.0,0.0,1.899,1.899,0.0134
5,クロワデュノール,3,先行,28.731,3,2.22,0.7,84.154,89.408,0.0,0.0,1.899,1.899,0.0134
2,ミュージアムマイル,1,先行,28.381,4,0.0,1.05,73.195,82.272,0.0,0.0,1.899,1.899,0.0134
17,レガレイラ,8,先行,28.031,5,7.0,1.4,68.507,79.338,0.0,0.0,1.899,1.899,0.0134
9,コスモキュランダ,5,先行,27.681,6,4.22,1.75,64.219,71.241,0.0,0.0,1.899,1.899,0.0134
4,ミクニインスパイア,2,先行,27.331,7,1.0,2.1,62.769,75.093,0.0,0.0,1.899,1.899,0.0134
7,ファミリータイム,4,先行,26.981,8,3.22,2.45,60.592,73.6,0.0,0.0,1.899,1.899,0.0134
3,シュガークン,2,先行,26.631,9,1.22,2.8,52.467,61.843,0.0,0.0,1.899,1.899,0.0134
18,ミステリーウェイ,8,先行,26.281,10,7.0,3.15,43.76,58.039,0.0,0.0,1.899,1.899,0.0134
1,ダノンデサイル,1,差し,25.931,11,0.22,3.5,79.175,85.766,0.0,0.0,1.899,1.899,0.0134
15,マイユニバース,7,差し,25.581,12,6.22,3.85,70.558,80.631,0.0,0.0,1.899,1.899,0.0134
10,ジューンテイク,5,差し,25.231,13,4.0,4.2,67.114,73.771,0.0,0.0,1.899,1.899,0.0134
13,シェイクユアハート,7,差し,24.881,14,6.22,4.55,67.357,78.592,0.0,0.0,1.899,1.899,0.0134
14,スティンガーグラス,7,差し,24.531,15,6.0,4.9,61.121,77.264,0.0,0.0,1.899,1.899,0.0134
11,シンエンペラー,6,差し,24.181,16,5.22,5.25,54.86,73.209,0.0,0.0,1.899,1.899,0.0134
8,タガノデュード,4,追込,23.831,17,3.0,5.6,71.2,81.806,0.0,0.0,1.899,1.899,0.0134
6,ビザンチンドリーム,3,追込,23.481,18,2.0,5.95,58.422,76.695,0.0,0.0,1.899,1.899,0.0134
16,メイショウタバル,8,逃げ,36.789,1,7.0,0.0,74.557,75.358,0.0,0.0,2.374,2.374,0.0167
12,マイネルエンペラー,6,逃げ,36.439,2,5.0,0.35,52.086,66.306,0.0,0.0,2.374,2.374,0.0167
5,クロワデュノール,3,先行,36.089,3,2.22,0.7,84.154,89.408,0.0,0.0,2.374,2.374,0.0167
2,ミュージアムマイル,1,先行,35.739,4,0.0,1.05,73.195,82.272,0.0,0.0,2.374,2.374,0.0167
17,レガレイラ,8,先行,35.389,5,7.0,1.4,68.507,79.338,0.0,0.0,2.374,2.374,0.0167
9,コスモキュランダ,5,先行,35.039,6,4.22,1.75,64.219,71.241,0.0,0.0,2.374,2.374,0.0167
4,ミクニインスパイア,2,先行,34.689,7,1.0,2.1,62.769,75.093,0.0,0.0,2.374,2.374,0.0167
7,ファミリータイム,4,先行,34.339,8,3.22,2.45,60.592,73.6,0.0,0.0,2.374,2.374,0.0167
3,シュガークン,2,先行,33.989,9,1.22,2.8,52.467,61.843,0.0,0.0,2.374,2.374,0.0167
18,ミステリーウェイ,8,先行,33.639,10,7.0,3.15,43.76,58.039,0.0,0.0,2.374,2.374,0.0167
1,ダノンデサイル,1,差し,33.289,11,0.22,3.5,79.175,85.766,0.0,0.0,2.374,2.374,0.0167
15,マイユニバース,7,差し,32.939,12,6.22,3.85,70.558,80.631,0.0,0.0,2.374,2.374,0.0167
10,ジューンテイク,5,差し,32.589,13,4.0,4.2,67.114,73.771,0.0,0.0,2.374,2.374,0.0167
13,シェイクユアハート,7,差し,32.239,14,6.22,4.55,67.357,78.592,0.0,0.0,2.374,2.374,0.0167
14,スティンガーグラス,7,差し,31.889,15,6.0,4.9,61.121,77.264,0.0,0.0,2.374,2.374,0.0167
11,シンエンペラー,6,差し,31.539,16,5.22,5.25,54.86,73.209,0.0,0.0,2.374,2.374,0.0167
8,タガノデュード,4,追込,31.189,17,3.0,5.6,71.2,81.806,0.0,0.0,2.374,2.374,0.0167
6,ビザンチンドリーム,3,追込,30.839,18,2.0,5.95,58.422,76.695,0.0,0.0,2.374,2.374,0.0167
16,メイショウタバル,8,逃げ,44.147,1,7.0,0.0,74.557,75.358,0.0,0.0,2.848,2.848,0.0201
12,マイネルエンペラー,6,逃げ,43.797,2,5.0,0.35,52.086,66.306,0.0,0.0,2.848,2.848,0.0201
5,クロワデュノール,3,先行,43.395,3,2.22,0.752,84.154,89.408,0.0,0.0,2.848,2.848,0.0201
2,ミュージアムマイル,1,先行,43.045,4,0.0,1.102,73.195,82.272,0.0,0.0,2.848,2.848,0.0201
17,レガレイラ,8,先行,42.695,5,7.0,1.452,68.507,79.338,0.0,0.0,2.848,2.848,0.0201
9,コスモキュランダ,5,先行,42.345,6,4.22,1.802,64.219,71.241,0.0,0.0,2.848,2.848,0.0201
4,ミクニインスパイア,2,先行,41.995,7,1.0,2.152,62.769,75.093,0.0,0.0,2.848,2.848,0.0201
7,ファミリータイム,4,先行,41.645,8,3.22,2.502,60.592,73.6,0.0,0.0,2.848,2.848,0.0201
3,シュガークン,2,先行,41.295,9,1.22,2.852,52.467,61.843,0.0,0.0,2.848,2.848,0.0201
18,ミステリーウェイ,8,先行,40.945,10,7.0,3.202,43.76,58.039,0.0,0.0,2.848,2.848,0.0201
1,ダノンデサイル,1,差し,40.595,11,0.22,3.552,79.175,85.766,0.0,0.0,2.848,2.848,0.0201
15,マイユニバース,7,差し,40.245,12,6.22,3.902,70.558,80.631,0.0,0.0,2.848,2.848,0.0201
10,ジューンテイク,5,差し,39.895,13,4.0,4.252,67.114,73.771,0.0,0.0,2.848,2.848,0.0201
13,シェイクユアハート,7,差し,39.545,14,6.22,4.602,67.357,78.592,0.0,0.0,2.848,2.848,0.0201
14,スティンガーグラス,7,差し,39.195,15,6.0,4.952,61.121,77.264,0.0,0.0,2.848,2.848,0.0201
11,シンエンペラー,6,差し,38.845,16,5.22,5.302,54.86,73.209,0.0,0.0,2.848,2.848,0.0201
8,タガノデュード,4,追込,38.495,17,3.0,5.652,71.2,81.806,0.0,0.0,2.848,2.848,0.0201
6,ビザンチンドリーム,3,追込,37.317,18,2.0,6.83,58.422,76.695,0.0,0.0,2.848,2.848,0.0201
16,メイショウタバル,8,逃げ,51.505,1,7.0,0.0,74.557,75.358,0.0,0.0,3.323,3.323,0.0234
12,マイネルエンペラー,6,逃げ,51.155,2,5.0,0.35,52.086,66.306,0.0,0.0,3.323,3.323,0.0234
5,クロワデュノール,3,先行,50.627,3,2.22,0.878,84.154,89.408,0.0,0.0,3.323,3.323,0.0234
2,ミュージアムマイル,1,先行,50.277,4,0.0,1.228,73.195,82.272,0.0,0.0,3.323,3.323,0.0234
17,レガレイラ,8,先行,49.927,5,7.0,1.578,68.507,79.338,0.0,0.0,3.323,3.323,0.0234
9,コスモキュランダ,5,先行,49.577,6,4.22,1.928,64.219,71.241,0.0,0.0,3.323,3.323,0.0234
4,ミクニインスパイア,2,先行,49.227,7,1.0,2.278,62.769,75.093,0.0,0.0,3.323,3.323,0.0234
7,ファミリータイム,4,先行,48.877,8,3.22,2.628,60.592,73.6,0.0,0.0,3.323,3.323,0.0234
3,シュガークン,2,先行,48.527,9,1.22,2.978,52.467,61.843,0.0,0.0,3.323,3.323,0.0234
18,ミステリーウェイ,8,先行,48.177,10,7.0,3.328,43.76,58.039,0.0,0.0,3.323,3.323,0.0234
1,ダノンデサイル,1,差し,47.827,11,0.22,3.678,79.175,85.766,0.0,0.0,3.323,3.323,0.0234
15,マイユニバース,7,差し,47.477,12,6.22,4.028,70.558,80.631,0.0,0.0,3.323,3.323,0.0234
10,ジューンテイク,5,差し,47.127,13,4.0,4.378,67.114,73.771,0.0,0.0,3.323,3.323,0.0234
13,シェイクユアハート,7,差し,46.777,14,6.22,4.728,67.357,78.592,0.0,0.0,3.323,3.323,0.0234
14,スティンガーグラス,7,差し,46.427,15,6.0,5.078,61.121,77.264,0.0,0.0,3.323,3.323,0.0234
11,シンエンペラー,6,差し,46.077,16,5.22,5.428,54.86,73.209,0.0,0.0,3.323,3.323,0.0234
8,タガノデュード,4,追込,45.364,17,3.0,6.141,71.2,81.806,0.0,0.0,3.323,3.323,0.0234
6,ビザンチンドリーム,3,追込,43.537,18,2.0,7.968,58.422,76.695,0.0,0.0,3.323,3.323,0.0234
16,メイショウタバル,8,逃げ,58.863,1,7.0,0.0,74.557,75.358,0.0,0.0,3.798,3.798,0.0268
12,マイネルエンペラー,6,逃げ,58.513,2,5.0,0.35,52.086,66.306,0.0,0.0,3.798,3.798,0.0268
5,クロワデュノール,3,先行,57.86,3,2.22,1.003,84.154,89.408,0.0,0.0,3.798,3.798,0.0268
2,ミュージアムマイル,1,先行,57.51,4,0.0,1.353,73.195,82.272,0.0,0.0,3.798,3.798,0.0268
17,レガレイラ,8,先行,57.16,5,7.0,1.703,68.507,79.338,0.0,0.0,3.798,3.798,0.0268
9,コスモキュランダ,5,先行,56.81,6,4.22,2.053,64.219,71.241,0.0,0.0,3.798,3.798,0.0268
4,ミクニインスパイア,2,先行,56.46,7,1.0,2.403,62.769,75.093,0.0,0.0,3.798,3.798,0.0268
7,ファミリータイム,4,先行,56.11,8,3.22,2.753,60.592,73.6,0.0,0.0,3.798,3.798,0.0268
3,シュガークン,2,先行,55.76,9,1.22,3.103,52.467,61.843,0.0,0.0,3.798,3.798,0.0268
18,ミステリーウェイ,8,先行,55.41,10,7.0,3.453,43.76,58.039,0.0,0.0,3.798,3.798,0.0268
1,ダノンデサイル,1,差し,54.826,11,0.22,4.037,79.175,85.766,0.0,0.0,3.798,3.798,0.0268
15,マイユニバース,7,差し,54.403,12,6.22,4.46,70.558,80.631,0.0,0.0,3.798,3.798,0.0268
10,ジューンテイク,5,差し,53.899,13,4.0,4.964,67.114,73.771,0.0,0.0,3.798,3.798,0.0268
13,シェイクユアハート,7,差し,53.549,14,6.22,5.314,67.357,78.592,0.0,0.0,3.798,3.798,0.0268
14,スティンガーグラス,7,差し,53.199,15,6.0,5.664,61.121,77.264,0.0,0.0,3.798,3.798,0.0268
11,シンエンペラー,6,差し,52.849,16,5.22,6.014,54.86,73.209,0.0,0.0,3.798,3.798,0.0268
8,タガノデュード,4,追込,51.844,17,3.0,7.019,71.2,81.806,0.0,0.0,3.798,3.798,0.0268
6,ビザンチンドリーム,3,追込,49.756,18,2.0,9.107,58.422,76.695,0.0,0.0,3.798,3.798,0.0268
16,メイショウタバル,8,逃げ,66.221,1,7.0,0.0,74.557,75.358,0.0,0.0,4.272,4.272,0.0301
12,マイネルエンペラー,6,逃げ,65.871,2,5.0,0.35,52.086,66.306,0.0,0.0,4.272,4.272,0.0301
5,クロワデュノール,3,先行,65.092,3,2.22,1.129,84.154,89.408,0.0,0.0,4.272,4.272,0.0301
2,ミュージアムマイル,1,先行,64.742,4,0.0,1.479,73.195,82.272,0.0,0.0,4.272,4.272,0.0301
17,レガレイラ,8,先行,64.392,5,7.0,1.829,68.507,79.338,0.0,0.0,4.272,4.272,0.0301
9,コスモキュランダ,5,先行,64.042,6,4.22,2.179,64.219,71.241,0.0,0.0,4.272,4.272,0.0301
4,ミクニインスパイア,2,先行,63.692,7,1.0,2.529,62.769,75.093,0.0,0.0,4.272,4.272,0.0301
7,ファミリータイム,4,先行,63.342,8,3.22,2.879,60.592,73.6,0.0,0.0,4.272,4.272,0.0301
3,シュガークン,2,先行,62.992,9,1.22,3.229,52.467,61.843,0.0,0.0,4.272,4.272,0.0301
18,ミステリーウェイ,8,先行,62.642,10,7.0,3.579,43.76,58.039,0.0,0.0,4.272,4.272,0.0301
1,ダノンデサイル,1,差し,61.679,11,0.22,4.542,79.175,85.766,0.0,0.0,4.272,4.272,0.0301
15,マイユニバース,7,差し,61.203,12,6.22,5.017,70.558,80.631,0.0,0.0,4.272,4.272,0.0301
10,ジューンテイク,5,差し,60.637,13,4.0,5.584,67.114,73.771,0.0,0.0,4.272,4.272,0.0301
13,シェイクユアハート,7,差し,60.287,14,6.22,5.934,67.357,78.592,0.0,0.0,4.272,4.272,0.0301
14,スティンガーグラス,7,差し,59.937,15,6.0,6.284,61.121,77.264,0.0,0.0,4.272,4.272,0.0301
11,シンエンペラー,6,差し,59.587,16,5.22,6.634,54.86,73.209,0.0,0.0,4.272,4.272,0.0301
8,タガノデュード,4,追込,58.325,17,3.0,7.896,71.2,81.806,0.0,0.0,4.272,4.272,0.0301
6,ビザンチンドリーム,3,追込,55.976,18,2.0,10.245,58.422,76.695,0.0,0.0,4.272,4.272,0.0301
16,メイショウタバル,8,逃げ,73.579,1,7.0,0.0,74.557,75.358,0.0,0.0,4.747,4.747,0.0334
12,マイネルエンペラー,6,逃げ,73.229,2,5.0,0.35,52.086,66.306,0.0,0.0,4.747,4.747,0.0334
5,クロワデュノール,3,先行,72.324,3,2.22,1.254,84.154,89.408,0.0,0.0,4.747,4.747,0.0334
2,ミュージアムマイル,1,先行,71.974,4,0.0,1.604,73.195,82.272,0.0,0.0,4.747,4.747,0.0334
17,レガレイラ,8,先行,71.624,5,7.0,1.954,68.507,79.338,0.0,0.0,4.747,4.747,0.0334
9,コスモキュランダ,5,先行,71.274,6,4.22,2.304,64.219,71.241,0.0,0.0,4.747,4.747,0.0334
4,ミクニインスパイア,2,先行,70.924,7,1.0,2.654,62.769,75.093,0.0,0.0,4.747,4.747,0.0334
7,ファミリータイム,4,先行,70.574,8,3.22,3.004,60.592,73.6,0.0,0.0,4.747,4.747,0.0334
3,シュガークン,2,先行,70.224,9,1.22,3.354,52.467,61.843,0.0,0.0,4.747,4.747,0.0334
18,ミステリーウェイ,8,先行,69.874,10,7.0,3.704,43.76,58.039,0.0,0.0,4.747,4.747,0.0334
1,ダノンデサイル,1,差し,68.532,11,0.22,5.046,79.175,85.766,0.0,0.0,4.747,4.747,0.0334
15,マイユニバース,7,差し,68.004,12,6.22,5.575,70.558,80.631,0.0,0.0,4.747,4.747,0.0334
10,ジューンテイク,5,差し,67.374,13,4.0,6.204,67.114,73.771,0.0,0.0,4.747,4.747,0.0334
13,シェイクユアハート,7,差し,67.024,14,6.22,6.554,67.357,78.592,0.0,0.0,4.747,4.747,0.0334
14,スティンガーグラス,7,差し,66.674,15,6.0,6.904,61.121,77.264,0.0,0.0,4.747,4.747,0.0334
11,シンエンペラー,6,差し,66.324,16,5.22,7.254,54.86,73.209,0.0,0.0,4.747,4.747,0.0334
8,タガノデュード,4,追込,64.805,17,3.0,8.773,71.2,81.806,0.0,0.0,4.747,4.747,0.0334
6,ビザンチンドリーム,3,追込,62.195,18,2.0,11.384,58.422,76.695,0.0,0.0,4.747,4.747,0.0334
16,メイショウタバル,8,逃げ,80.936,1,7.0,0.0,74.557,75.358,0.0,0.0,5.222,5.222,0.0368
12,マイネルエンペラー,6,逃げ,80.561,2,5.0,0.375,52.086,66.306,0.0,0.0,5.222,5.222,0.0368
5,クロワデュノール,3,先行,79.557,3,2.22,1.38,84.154,89.408,0.0,0.0,5.222,5.222,0.0368
2,ミュージアムマイル,1,先行,79.207,4,0.0,1.73,73.195,82.272,0.0,0.0,5.222,5.222,0.0368
17,レガレイラ,8,先行,78.857,5,7.0,2.08,68.507,79.338,0.0,0.0,5.222,5.222,0.0368
9,コスモキュランダ,5,先行,78.507,6,4.22,2.43,64.219,71.241,0.0,0.0,5.222,5.222,0.0368
4,ミクニインスパイア,2,先行,78.157,7,1.0,2.78,62.769,75.093,0.0,0.0,5.222,5.222,0.0368
7,ファミリータイム,4,先行,77.807,8,3.22,3.13,60.592,73.6,0.0,0.0,5.222,5.222,0.0368
3,シュガークン,2,先行,77.457,9,1.22,3.48,52.467,61.843,0.0,0.0,5.222,5.222,0.0368
18,ミステリーウェイ,8,先行,77.107,10,7.0,3.83,43.76,58.039,0.0,0.0,5.222,5.222,0.0368
1,ダノンデサイル,1,差し,75.386,11,0.22,5.551,79.175,85.766,0.0,0.0,5.222,5.222,0.0368
15,マイユニバース,7,差し,74.804,12,6.22,6.132,70.558,80.631,0.0,0.0,5.222,5.222,0.0368
10,ジューンテイク,5,差し,74.112,13,4.0,6.825,67.114,73.771,0.0,0.0,5.222,5.222,0.0368
13,シェイクユアハート,7,差し,73.762,14,6.22,7.175,67.357,78.592,0.0,0.0,5.222,5.222,0.0368
14,スティンガーグラス,7,差し,73.412,15,6.0,7.525,61.121,77.264,0.0,0.0,5.222,5.222,0.0368
11,シンエンペラー,6,差し,73.062,16,5.22,7.875,54.86,73.209,0.0,0.0,5.222,5.222,0.0368
8,タガノデュード,4,追込,71.286,17,3.0,9.651,71.2,81.806,0.0,0.0,5.222,5.222,0.0368
6,ビザンチンドリーム,3,追込,68.415,18,2.0,12.522,58.422,76.695,0.0,0.0,5.222,5.222,0.0368
16,メイショウタバル,8,逃げ,88.294,1,7.0,0.0,74.557,75.358,0.0,0.0,5.696,5.696,0.0401
12,マイネルエンペラー,6,逃げ,87.885,2,5.0,0.409,52.086,66.306,0.0,0.0,5.696,5.696,0.0401
5,クロワデュノール,3,先行,86.789,3,2.22,1.505,84.154,89.408,0.0,0.0,5.696,5.696,0.0401
2,ミュージアムマイル,1,先行,86.439,4,0.0,1.855,73.195,82.272,0.0,0.0,5.696,5.696,0.0401
17,レガレイラ,8,先行,86.089,5,7.0,2.205,68.507,79.338,0.0,0.0,5.696,5.696,0.0401
9,コスモキュランダ,5,先行,85.739,6,4.22,2.555,64.219,71.241,0.0,0.0,5.696,5.696,0.0401
4,ミクニインスパイア,2,先行,85.389,7,1.0,2.905,62.769,75.093,0.0,0.0,5.696,5.696,0.0401
7,ファミリータイム,4,先行,85.039,8,3.22,3.255,60.592,73.6,0.0,0.0,5.696,5.696,0.0401
3,シュガークン,2,先行,84.689,9,1.22,3.605,52.467,61.843,0.0,0.0,5.696,5.696,0.0401
18,ミステリーウェイ,8,先行,84.339,10,7.0,3.955,43.76,58.039,0.0,0.0,5.696,5.696,0.0401
1,ダノンデサイル,1,差し,82.239,11,0.22,6.056,79.175,85.766,0.0,0.0,5.696,5.696,0.0401
15,マイユニバース,7,差し,81.605,12,6.22,6.69,70.558,80.631,0.0,0.0,5.696,5.696,0.0401
10,ジューンテイク,5,差し,80.849,13,4.0,7.445,67.114,73.771,0.0,0.0,5.696,5.696,0.0401
13,シェイクユアハート,7,差し,80.48,14,6.22,7.814,67.357,78.592,0.0,0.0,5.696,5.696,0.0401
14,スティンガーグラス,7,差し,80.13,15,6.0,8.164,61.121,77.264,0.0,0.0,5.696,5.696,0.0401
11,シンエンペラー,6,差し,79.727,16,5.22,8.567,54.86,73.209,0.0,0.0,5.696,5.696,0.0401
8,タガノデュード,4,追込,77.766,17,3.0,10.528,71.2,81.806,0.0,0.0,5.696,5.696,0.0401
6,ビザンチンドリーム,3,追込,74.634,18,2.0,13.66,58.422,76.695,0.0,0.0,5.696,5.696,0.0401
16,メイショウタバル,8,逃げ,95.652,1,7.0,0.0,74.557,75.358,0.0,0.0,6.171,6.171,0.0435
12,マイネルエンペラー,6,逃げ,95.209,2,5.0,0.443,52.086,66.306,0.0,0.0,6.171,6.171,0.0435
